file,timestamp,line,event_type,total_tokens,input_tokens,cached_input_tokens,output_tokens,uncached_input_tokens,delta_total_tokens,delta_cached_input_tokens,delta_uncached_input_tokens
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:07:02.599Z,160,event_msg,105576,104432,99712,1144,4720,-1004826,-832640,-153362
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:13:22.175Z,178,event_msg,1215102,1194444,999808,20658,194636,1109526,900096,189916
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:13:22.175Z,178,event_msg,104700,104010,67456,690,36554,-1110402,-932352,-158082
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:13:33.134Z,190,event_msg,1336019,1314938,1103616,21081,211322,1231319,1036160,174768
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:13:33.134Z,190,event_msg,120917,120494,103808,423,16686,-1215102,-999808,-194636
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:13:47.054Z,200,event_msg,1464024,1442553,1223808,21471,218745,1343107,1120000,202059
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:13:47.054Z,200,event_msg,128005,127615,120192,390,7423,-1336019,-1103616,-211322
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:14:47.345Z,207,event_msg,1598088,1573449,1351168,24639,222281,1470083,1230976,214858
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:14:47.345Z,207,event_msg,134064,130896,127360,3168,3536,-1464024,-1223808,-218745
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:15:04.124Z,219,event_msg,1733028,1707669,1481600,25359,226069,1598964,1354240,222533
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:15:04.124Z,219,event_msg,134940,134220,130432,720,3788,-1598088,-1351168,-222281
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:15:13.696Z,229,event_msg,1870092,1844375,1615616,25717,228759,1735152,1485184,224971
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:15:13.696Z,229,event_msg,137064,136706,134016,358,2690,-1733028,-1481600,-226069
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:15:20.999Z,237,event_msg,2010300,1984300,1752192,26000,232108,1873236,1618176,229418
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:15:20.999Z,237,event_msg,140208,139925,136576,283,3349,-1870092,-1615616,-228759
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:15:38.112Z,247,event_msg,2150595,2123945,1856000,26650,267945,2010387,1719424,264596
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:15:38.112Z,247,event_msg,140295,139645,103808,650,35837,-2010300,-1752192,-232108
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:16:25.303Z,254,event_msg,2301941,2272792,1995136,29149,277656,2161646,1891328,241819
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:16:25.303Z,254,event_msg,151346,148847,139136,2499,9711,-2150595,-1856000,-267945
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:16:40.990Z,265,event_msg,2454017,2424294,2143488,29723,280806,2302671,2004352,271095
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:16:40.990Z,265,event_msg,152076,151502,148352,574,3150,-2301941,-1995136,-277656
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:16:53.450Z,275,event_msg,2609387,2579182,2294912,30205,284270,2457311,2146560,281120
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:16:53.450Z,275,event_msg,155370,154888,151424,482,3464,-2454017,-2143488,-280806
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:12.034Z,282,event_msg,2767334,2736214,2449408,31120,286806,2611964,2297984,283342
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:12.034Z,282,event_msg,157947,157032,154496,915,2536,-2609387,-2294912,-284270
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:22.179Z,294,event_msg,2925814,2894310,2605952,31504,288358,2767867,2451456,285822
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:22.179Z,294,event_msg,158480,158096,156544,384,1552,-2767334,-2449408,-286806
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:34.923Z,304,event_msg,3087169,3055168,2764032,32001,291136,2928689,2607488,289584
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:34.923Z,304,event_msg,161355,160858,158080,497,2778,-2925814,-2605952,-288358
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:43.280Z,310,event_msg,3249347,3217117,2924672,32230,292445,3087992,2766592,289667
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:43.280Z,310,event_msg,162178,161949,160640,229,1309,-3087169,-2764032,-291136
rollout-2026-06-28T03-56-18-019f0d71-8d49-7fe2-82f1-f794eefbb000.jsonl,2026-06-28T09:17:54.186Z,318,event_msg,3412294,3379662,3086336,32632,293326,3250116,2925696,292017
